unit,t,Total Solar+ESS Output Power,PV Smoothing_Pset,ESS Output Power_SPPC,SOC,EMS_Final_Pset,Total Solar Power,PCC_F,PFC_Pset
SNTD_EMS,2026-06-21T22:30:00.018+08:00,-258.570,0.000,-46.080,5.400,0.000,2050.916,50.155,0.000
SNTD_EMS,2026-06-21T22:30:01.018+08:00,-258.570,0.000,-46.500,5.400,0.000,2051.416,50.153,0.000
SNTD_EMS,2026-06-21T22:30:02.018+08:00,-258.570,0.000,-46.480,5.400,0.000,2051.416,50.149,0.000
SNTD_EMS,2026-06-21T22:30:03.018+08:00,-258.570,0.000,-45.910,5.400,0.000,2051.773,50.150,0.000
SNTD_EMS,2026-06-21T22:30:04.018+08:00,-258.570,0.000,-45.600,5.400,0.000,2051.773,50.146,0.000
SNTD_EMS,2026-06-21T22:30:05.018+08:00,-258.570,0.000,-45.730,5.400,0.000,2052.238,50.141,0.000
SNTD_EMS,2026-06-21T22:30:06.018+08:00,-258.570,0.000,-46.080,5.400,0.000,2052.238,50.139,0.000
SNTD_EMS,2026-06-21T22:30:07.018+08:00,-258.570,0.000,-46.290,5.400,0.000,2051.809,50.133,0.000
SNTD_EMS,2026-06-21T22:30:08.018+08:00,-258.570,0.000,-46.380,5.400,0.000,2051.809,50.134,0.000
SNTD_EMS,2026-06-21T22:30:09.018+08:00,-258.570,0.000,-45.640,5.400,0.000,2050.951,50.131,0.000
SNTD_EMS,2026-06-21T22:30:10.018+08:00,-258.570,0.000,-46.140,5.400,0.000,2050.951,50.134,0.000
SNTD_EMS,2026-06-21T22:30:11.018+08:00,-258.570,0.000,-45.980,5.400,0.000,2051.166,50.139,0.000
SNTD_EMS,2026-06-21T22:30:12.018+08:00,-258.570,0.000,-46.050,5.400,0.000,2051.166,50.141,0.000
SNTD_EMS,2026-06-21T22:30:13.018+08:00,-258.570,0.000,-46.610,5.400,0.000,2050.451,50.143,0.000
SNTD_EMS,2026-06-21T22:30:14.018+08:00,-258.570,0.000,-46.180,5.400,0.000,2050.451,50.146,0.000
SNTD_EMS,2026-06-21T22:30:15.018+08:00,-258.570,0.000,-45.940,5.400,0.000,2051.237,50.148,0.000
SNTD_EMS,2026-06-21T22:30:16.018+08:00,-258.570,0.000,-45.820,5.400,0.000,2051.237,50.153,0.000
SNTD_EMS,2026-06-21T22:30:17.018+08:00,-258.570,0.000,-45.640,5.400,0.000,2051.023,50.159,0.000
SNTD_EMS,2026-06-21T22:30:18.018+08:00,-258.570,0.000,-46.020,5.400,0.000,2051.023,50.162,0.000
SNTD_EMS,2026-06-21T22:30:19.018+08:00,-258.570,0.000,-46.360,5.400,0.000,2051.273,50.167,0.000
SNTD_EMS,2026-06-21T22:30:20.018+08:00,-258.570,0.000,-46.680,5.400,0.000,2051.273,50.170,0.000
SNTD_EMS,2026-06-21T22:30:21.018+08:00,-258.570,0.000,-47.100,5.400,0.000,2051.166,50.173,0.000
SNTD_EMS,2026-06-21T22:30:22.018+08:00,-258.570,0.000,-47.470,5.400,0.000,2051.166,50.174,0.000
SNTD_EMS,2026-06-21T22:30:23.018+08:00,-258.570,0.000,-47.010,5.400,0.000,2051.559,50.176,0.000
SNTD_EMS,2026-06-21T22:30:24.018+08:00,-258.570,0.000,-46.890,5.400,0.000,2051.559,50.172,0.000
SNTD_EMS,2026-06-21T22:30:25.018+08:00,-258.570,0.000,-46.910,5.400,0.000,2051.273,50.172,0.000
SNTD_EMS,2026-06-21T22:30:26.018+08:00,-258.570,0.000,-47.350,5.400,0.000,2051.273,50.169,0.000
SNTD_EMS,2026-06-21T22:30:27.018+08:00,-258.570,0.000,-47.370,5.400,0.000,2051.309,50.171,0.000
SNTD_EMS,2026-06-21T22:30:28.018+08:00,-258.570,0.000,-46.900,5.400,0.000,2051.309,50.170,0.000
SNTD_EMS,2026-06-21T22:30:29.018+08:00,-258.570,0.000,-46.490,5.400,0.000,2050.558,50.168,0.000
SNTD_EMS,2026-06-21T22:30:30.018+08:00,-258.570,0.000,-46.130,5.400,0.000,2050.558,50.169,0.000
SNTD_EMS,2026-06-21T22:30:31.018+08:00,-258.570,0.000,-45.920,5.400,0.000,2051.023,50.167,0.000
SNTD_EMS,2026-06-21T22:30:32.018+08:00,-258.570,0.000,-45.860,5.400,0.000,2051.023,50.167,0.000
SNTD_EMS,2026-06-21T22:30:33.018+08:00,-258.570,0.000,-45.850,5.400,0.000,2050.916,50.166,0.000
SNTD_EMS,2026-06-21T22:30:34.018+08:00,-258.570,0.000,-45.940,5.400,0.000,2050.916,50.165,0.000
SNTD_EMS,2026-06-21T22:30:35.018+08:00,-258.570,0.000,-46.260,5.400,0.000,2050.916,50.163,0.000
SNTD_EMS,2026-06-21T22:30:36.018+08:00,-258.570,0.000,-45.960,5.400,0.000,2050.916,50.163,0.000
SNTD_EMS,2026-06-21T22:30:37.018+08:00,-258.570,0.000,-46.180,5.400,0.000,2051.666,50.161,0.000
SNTD_EMS,2026-06-21T22:30:38.018+08:00,-258.570,0.000,-45.980,5.400,0.000,2051.666,50.157,0.000
SNTD_EMS,2026-06-21T22:30:39.018+08:00,-258.570,0.000,-46.190,5.400,0.000,2051.773,50.157,0.000
SNTD_EMS,2026-06-21T22:30:40.018+08:00,-258.570,0.000,-46.190,5.400,0.000,2051.773,50.153,0.000
SNTD_EMS,2026-06-21T22:30:41.018+08:00,-258.570,0.000,-46.210,5.400,0.000,2051.559,50.153,0.000
SNTD_EMS,2026-06-21T22:30:42.018+08:00,-258.570,0.000,-46.080,5.400,0.000,2051.559,50.152,0.000
SNTD_EMS,2026-06-21T22:30:43.018+08:00,-258.570,0.000,-46.020,5.400,0.000,2051.237,50.148,0.000
SNTD_EMS,2026-06-21T22:30:44.018+08:00,-258.570,0.000,-45.740,5.400,0.000,2051.237,50.148,0.000
SNTD_EMS,2026-06-21T22:30:45.018+08:00,-258.570,0.000,-45.800,5.400,0.000,2051.380,50.145,0.000
SNTD_EMS,2026-06-21T22:30:46.018+08:00,-258.570,0.000,-45.900,5.400,0.000,2051.380,50.145,0.000
SNTD_EMS,2026-06-21T22:30:47.018+08:00,-258.570,0.000,-45.770,5.400,0.000,2051.094,50.145,0.000
SNTD_EMS,2026-06-21T22:30:48.018+08:00,-258.570,0.000,-46.140,5.400,0.000,2051.094,50.143,0.000
SNTD_EMS,2026-06-21T22:30:49.018+08:00,-258.570,0.000,-46.570,5.400,0.000,2051.666,50.143,0.000
SNTD_EMS,2026-06-21T22:30:50.018+08:00,-258.570,0.000,-47.120,5.400,0.000,2051.666,50.142,0.000
SNTD_EMS,2026-06-21T22:30:51.018+08:00,-258.570,0.000,-46.980,5.400,0.000,2051.630,50.143,0.000
SNTD_EMS,2026-06-21T22:30:52.018+08:00,-258.570,0.000,-46.690,5.400,0.000,2051.630,50.143,0.000
SNTD_EMS,2026-06-21T22:30:53.018+08:00,-258.570,0.000,-46.810,5.400,0.000,2051.130,50.146,0.000
SNTD_EMS,2026-06-21T22:30:54.018+08:00,-258.570,0.000,-46.580,5.400,0.000,2051.130,50.147,0.000
