unit,t,Total Solar+ESS Output Power,PV Smoothing_Pset,ESS Output Power_SPPC,SOC,EMS_Final_Pset,Total Solar Power,PCC_F,PFC_Pset
SNTD_EMS,2026-06-21T08:30:00.018+08:00,-258.570,0.000,-105.900,5.200,0.000,28411.041,50.221,0.000
SNTD_EMS,2026-06-21T08:30:01.018+08:00,-258.570,0.000,-101.760,5.200,0.000,28413.686,50.217,0.000
SNTD_EMS,2026-06-21T08:30:02.018+08:00,-258.570,0.000,-87.060,5.200,0.000,28413.686,50.214,0.000
SNTD_EMS,2026-06-21T08:30:03.018+08:00,-258.570,0.000,-82.790,5.200,0.000,28414.115,50.211,0.000
SNTD_EMS,2026-06-21T08:30:04.018+08:00,-258.570,0.000,-81.300,5.200,0.000,28414.115,50.206,0.000
SNTD_EMS,2026-06-21T08:30:05.018+08:00,-258.570,0.000,-77.660,5.200,0.000,28417.115,50.200,0.000
SNTD_EMS,2026-06-21T08:30:06.018+08:00,-258.570,0.000,-77.310,5.200,0.000,28417.115,50.198,0.000
SNTD_EMS,2026-06-21T08:30:07.018+08:00,-258.570,0.000,-77.640,5.200,0.000,28420.404,50.196,0.000
SNTD_EMS,2026-06-21T08:30:08.018+08:00,-258.570,0.000,-75.380,5.200,0.000,28420.404,50.193,0.000
SNTD_EMS,2026-06-21T08:30:09.018+08:00,-258.570,0.000,-77.450,5.200,0.000,28425.871,50.193,0.000
SNTD_EMS,2026-06-21T08:30:10.018+08:00,-258.570,0.000,-79.050,5.200,0.000,28425.871,50.194,0.000
SNTD_EMS,2026-06-21T08:30:11.018+08:00,-258.570,0.000,-84.080,5.200,0.000,28430.197,50.195,0.000
SNTD_EMS,2026-06-21T08:30:12.018+08:00,-258.570,0.000,-85.540,5.200,0.000,28430.197,50.194,0.000
SNTD_EMS,2026-06-21T08:30:13.018+08:00,-258.570,0.000,-87.320,5.200,0.000,28433.732,50.193,0.000
SNTD_EMS,2026-06-21T08:30:14.018+08:00,-258.570,0.000,-90.130,5.200,0.000,28433.732,50.193,0.000
SNTD_EMS,2026-06-21T08:30:15.018+08:00,-258.570,0.000,-91.310,5.200,0.000,28440.273,50.191,0.000
SNTD_EMS,2026-06-21T08:30:16.018+08:00,-258.570,0.000,-90.830,5.200,0.000,28440.273,50.189,0.000
SNTD_EMS,2026-06-21T08:30:17.018+08:00,-258.570,0.000,-91.850,5.200,0.000,28447.062,50.188,0.000
SNTD_EMS,2026-06-21T08:30:18.018+08:00,-258.570,0.000,-92.360,5.200,0.000,28447.062,50.188,0.000
SNTD_EMS,2026-06-21T08:30:19.018+08:00,-258.570,0.000,-92.370,5.200,0.000,28452.744,50.185,0.000
SNTD_EMS,2026-06-21T08:30:20.018+08:00,-258.570,0.000,-92.770,5.200,0.000,28452.744,50.187,0.000
SNTD_EMS,2026-06-21T08:30:21.018+08:00,-258.570,0.000,-93.040,5.200,0.000,28455.926,50.185,0.000
SNTD_EMS,2026-06-21T08:30:22.018+08:00,-258.570,0.000,-93.070,5.200,0.000,28455.926,50.185,0.000
SNTD_EMS,2026-06-21T08:30:23.018+08:00,-258.570,0.000,-92.890,5.200,0.000,28462.072,50.185,0.000
SNTD_EMS,2026-06-21T08:30:24.018+08:00,-258.570,0.000,-92.680,5.200,0.000,28462.072,50.186,0.000
SNTD_EMS,2026-06-21T08:30:25.018+08:00,-258.570,0.000,-92.940,5.200,0.000,28464.932,50.188,0.000
SNTD_EMS,2026-06-21T08:30:26.018+08:00,-258.570,0.000,-93.170,5.200,0.000,28464.932,50.187,0.000
SNTD_EMS,2026-06-21T08:30:27.018+08:00,-258.570,0.000,-92.840,5.200,0.000,28471.471,50.188,0.000
SNTD_EMS,2026-06-21T08:30:28.018+08:00,-258.570,0.000,-92.870,5.200,0.000,28471.471,50.191,0.000
SNTD_EMS,2026-06-21T08:30:29.018+08:00,-258.570,0.000,-92.750,5.200,0.000,28477.295,50.194,0.000
SNTD_EMS,2026-06-21T08:30:30.018+08:00,-258.570,0.000,-92.840,5.200,0.000,28477.295,50.196,0.000
SNTD_EMS,2026-06-21T08:30:31.018+08:00,-258.570,0.000,-92.710,5.200,0.000,28479.549,50.197,0.000
SNTD_EMS,2026-06-21T08:30:32.018+08:00,-258.570,0.000,-92.530,5.200,0.000,28479.549,50.198,0.000
SNTD_EMS,2026-06-21T08:30:33.018+08:00,-258.570,0.000,-92.600,5.200,0.000,28484.729,50.199,0.000
SNTD_EMS,2026-06-21T08:30:34.018+08:00,-258.570,0.000,-93.440,5.200,0.000,28484.729,50.200,0.000
SNTD_EMS,2026-06-21T08:30:35.018+08:00,-258.570,0.000,-93.180,5.200,0.000,28493.912,50.198,0.000
SNTD_EMS,2026-06-21T08:30:36.018+08:00,-258.570,0.000,-94.660,5.200,0.000,28493.912,50.200,0.000
SNTD_EMS,2026-06-21T08:30:37.018+08:00,-258.570,0.000,-100.730,5.200,0.000,28496.809,50.199,0.000
SNTD_EMS,2026-06-21T08:30:38.018+08:00,-258.570,0.000,-101.260,5.200,0.000,28496.809,50.199,0.000
SNTD_EMS,2026-06-21T08:30:39.018+08:00,-258.570,0.000,-101.850,5.200,0.000,28500.990,50.199,0.000
SNTD_EMS,2026-06-21T08:30:40.018+08:00,-258.570,0.000,-101.650,5.200,0.000,28500.990,50.198,0.000
SNTD_EMS,2026-06-21T08:30:41.018+08:00,-258.570,0.000,-97.650,5.200,0.000,28505.994,50.198,0.000
SNTD_EMS,2026-06-21T08:30:42.018+08:00,-258.570,0.000,-93.410,5.200,0.000,28505.994,50.196,0.000
SNTD_EMS,2026-06-21T08:30:43.018+08:00,-258.570,0.000,-93.390,5.200,0.000,28510.674,50.196,0.000
