unit,t,Total Solar+ESS Output Power,PV Smoothing_Pset,ESS Output Power_SPPC,SOC,EMS_Final_Pset,Total Solar Power,PCC_F,PFC_Pset
SNTD_EMS,2026-06-21T19:30:00.018+08:00,-258.570,0.000,-19.700,5.500,0.000,2051.809,50.193,0.000
SNTD_EMS,2026-06-21T19:30:01.018+08:00,-258.570,0.000,-23.510,5.500,0.000,2050.951,50.194,0.000
SNTD_EMS,2026-06-21T19:30:02.018+08:00,-258.570,0.000,-24.900,5.500,0.000,2050.951,50.194,0.000
SNTD_EMS,2026-06-21T19:30:03.018+08:00,-258.570,0.000,-26.110,5.500,0.000,2051.309,50.196,0.000
SNTD_EMS,2026-06-21T19:30:04.018+08:00,-258.570,0.000,-27.240,5.500,0.000,2051.309,50.195,0.000
SNTD_EMS,2026-06-21T19:30:05.018+08:00,-258.570,0.000,-28.430,5.500,0.000,2051.237,50.196,0.000
SNTD_EMS,2026-06-21T19:30:06.018+08:00,-258.570,0.000,-32.670,5.500,0.000,2051.237,50.198,0.000
SNTD_EMS,2026-06-21T19:30:07.018+08:00,-258.570,0.000,-34.010,5.500,0.000,2051.416,50.198,0.000
SNTD_EMS,2026-06-21T19:30:08.018+08:00,-258.570,0.000,-33.950,5.500,0.000,2051.416,50.197,0.000
SNTD_EMS,2026-06-21T19:30:09.018+08:00,-258.570,0.000,-34.190,5.500,0.000,2050.987,50.199,0.000
SNTD_EMS,2026-06-21T19:30:10.018+08:00,-258.570,0.000,-34.460,5.500,0.000,2050.987,50.200,0.000
SNTD_EMS,2026-06-21T19:30:11.018+08:00,-258.570,0.000,-34.920,5.500,0.000,2050.773,50.201,0.000
SNTD_EMS,2026-06-21T19:30:12.018+08:00,-258.570,0.000,-36.940,5.500,0.000,2050.773,50.203,0.000
SNTD_EMS,2026-06-21T19:30:13.018+08:00,-258.570,0.000,-39.850,5.500,0.000,2050.880,50.205,0.000
SNTD_EMS,2026-06-21T19:30:14.018+08:00,-258.570,0.000,-41.470,5.500,0.000,2050.880,50.206,0.000
SNTD_EMS,2026-06-21T19:30:15.018+08:00,-258.570,0.000,-44.120,5.500,0.000,2050.773,50.207,0.000
